Sexo;Sección;Nacionalidad;Total
Ambos Sexos;3300201002;Reino Unido;1
Ambos Sexos;3300201002;Rusia;0
Ambos Sexos;3300201002;Ucrania;0
Ambos Sexos;3300201002;Total África;3
Ambos Sexos;3300201002;Argelia;0
Ambos Sexos;3300201002;Marruecos;3
Ambos Sexos;3300201002;Nigeria;0
Ambos Sexos;3300201002;Senegal;0
Ambos Sexos;3300201002;Total América;1
Ambos Sexos;3300201002;Argentina;0
Ambos Sexos;3300201002;Bolivia;0
Ambos Sexos;3300201002;Brasil;0
Ambos Sexos;3300201002;Chile;0
Ambos Sexos;3300201002;Colombia;1
Ambos Sexos;3300201002;Cuba;0
Ambos Sexos;3300201002;Ecuador;0
Ambos Sexos;3300201002;Paraguay;0
Ambos Sexos;3300201002;Perú;0
Ambos Sexos;3300201002;República Dominicana;0
Ambos Sexos;3300201002;Uruguay;0
Ambos Sexos;3300201002;Venezuela;0
Ambos Sexos;3300201002;Total Asia;0
Ambos Sexos;3300201002;China;0
Ambos Sexos;3300201002;Pakistán;0
Ambos Sexos;3300201002;Oceanía y Apátridas;0
Ambos Sexos;3300201003;Total Población;906
Ambos Sexos;3300201003;Españoles;894
Ambos Sexos;3300201003;Total Extranjeros;12
Ambos Sexos;3300201003;Total Unión Europea;5
Ambos Sexos;3300201003;Alemania;0
Ambos Sexos;3300201003;Bulgaria;0
Ambos Sexos;3300201003;Francia;0
Ambos Sexos;3300201003;Italia;0
Ambos Sexos;3300201003;Polonia;0
Ambos Sexos;3300201003;Portugal;1
Ambos Sexos;3300201003;Rumanía;3
Ambos Sexos;3300201003;Total Resto de Europa;4
Ambos Sexos;3300201003;Reino Unido;0
Ambos Sexos;3300201003;Rusia;0
Ambos Sexos;3300201003;Ucrania;0
Ambos Sexos;3300201003;Total África;1
Ambos Sexos;3300201003;Argelia;0
Ambos Sexos;3300201003;Marruecos;1
Ambos Sexos;3300201003;Nigeria;0
Ambos Sexos;3300201003;Senegal;0
Ambos Sexos;3300201003;Total América;1
Ambos Sexos;3300201003;Argentina;0
Ambos Sexos;3300201003;Bolivia;0
Ambos Sexos;3300201003;Brasil;0
Ambos Sexos;3300201003;Chile;0
Ambos Sexos;3300201003;Colombia;0
Ambos Sexos;3300201003;Cuba;0
Ambos Sexos;3300201003;Ecuador;0
Ambos Sexos;3300201003;Paraguay;1
Ambos Sexos;3300201003;Perú;0
Ambos Sexos;3300201003;República Dominicana;0
Ambos Sexos;3300201003;Uruguay;0
Ambos Sexos;3300201003;Venezuela;0
Ambos Sexos;3300201003;Total Asia;0
Ambos Sexos;3300201003;China;0
Ambos Sexos;3300201003;Pakistán;0
Ambos Sexos;3300201003;Oceanía y Apátridas;1
Ambos Sexos;3300202001;Total Población;670
Ambos Sexos;3300202001;Españoles;642
Ambos Sexos;3300202001;Total Extranjeros;28
Ambos Sexos;3300202001;Total Unión Europea;18
Ambos Sexos;3300202001;Alemania;1
Ambos Sexos;3300202001;Bulgaria;0
Ambos Sexos;3300202001;Francia;2
Ambos Sexos;3300202001;Italia;1
Ambos Sexos;3300202001;Polonia;0
Ambos Sexos;3300202001;Portugal;3
Ambos Sexos;3300202001;Rumanía;7
Ambos Sexos;3300202001;Total Resto de Europa;2
Ambos Sexos;3300202001;Reino Unido;0
Ambos Sexos;3300202001;Rusia;1
Ambos Sexos;3300202001;Ucrania;1
Ambos Sexos;3300202001;Total África;2
Ambos Sexos;3300202001;Argelia;0
Ambos Sexos;3300202001;Marruecos;0
Ambos Sexos;3300202001;Nigeria;0
Ambos Sexos;3300202001;Senegal;0
Ambos Sexos;3300202001;Total América;6
Ambos Sexos;3300202001;Argentina;0
Ambos Sexos;3300202001;Bolivia;0
Ambos Sexos;3300202001;Brasil;0
Ambos Sexos;3300202001;Chile;0
Ambos Sexos;3300202001;Colombia;0
Ambos Sexos;3300202001;Cuba;0
Ambos Sexos;3300202001;Ecuador;0
Ambos Sexos;3300202001;Paraguay;0
Ambos Sexos;3300202001;Perú;0
Ambos Sexos;3300202001;República Dominicana;0
Ambos Sexos;3300202001;Uruguay;0
Ambos Sexos;3300202001;Venezuela;5
Ambos Sexos;3300202001;Total Asia;0
Ambos Sexos;3300202001;China;0
Ambos Sexos;3300202001;Pakistán;0
Ambos Sexos;3300202001;Oceanía y Apátridas;0
Ambos Sexos;3300202002;Total Población;763
Ambos Sexos;3300202002;Españoles;748
Ambos Sexos;3300202002;Total Extranjeros;15
Ambos Sexos;3300202002;Total Unión Europea;2
Ambos Sexos;3300202002;Alemania;0
Ambos Sexos;3300202002;Bulgaria;0
Ambos Sexos;3300202002;Francia;0
Ambos Sexos;3300202002;Italia;0
Ambos Sexos;3300202002;Polonia;0
Ambos Sexos;3300202002;Portugal;1
Ambos Sexos;3300202002;Rumanía;1
Ambos Sexos;3300202002;Total Resto de Europa;3
Ambos Sexos;3300202002;Reino Unido;1
Ambos Sexos;3300202002;Rusia;0
Ambos Sexos;3300202002;Ucrania;2
Ambos Sexos;3300202002;Total África;0
Ambos Sexos;3300202002;Argelia;0
Ambos Sexos;3300202002;Marruecos;0
Ambos Sexos;3300202002;Nigeria;0
Ambos Sexos;3300202002;Senegal;0
Ambos Sexos;3300202002;Total América;9
Ambos Sexos;3300202002;Argentina;1
Ambos Sexos;3300202002;Bolivia;1
Ambos Sexos;3300202002;Brasil;0
Ambos Sexos;3300202002;Chile;0
Ambos Sexos;3300202002;Colombia;0
Ambos Sexos;3300202002;Cuba;0
Ambos Sexos;3300202002;Ecuador;0
Ambos Sexos;3300202002;Paraguay;1
Ambos Sexos;3300202002;Perú;1
Ambos Sexos;3300202002;República Dominicana;0
Ambos Sexos;3300202002;Uruguay;1
Ambos Sexos;3300202002;Venezuela;0
Ambos Sexos;3300202002;Total Asia;1
Ambos Sexos;3300202002;China;0
Ambos Sexos;3300202002;Pakistán;0
Ambos Sexos;3300202002;Oceanía y Apátridas;0
Ambos Sexos;3300203001;Total Población;961
Ambos Sexos;3300203001;Españoles;944
Ambos Sexos;3300203001;Total Extranjeros;17
Ambos Sexos;3300203001;Total Unión Europea;8
Ambos Sexos;3300203001;Alemania;1
Ambos Sexos;3300203001;Bulgaria;0
Ambos Sexos;3300203001;Francia;1
Ambos Sexos;3300203001;Italia;0
Ambos Sexos;3300203001;Polonia;1
Ambos Sexos;3300203001;Portugal;3
Ambos Sexos;3300203001;Rumanía;2
Ambos Sexos;3300203001;Total Resto de Europa;5
Ambos Sexos;3300203001;Reino Unido;0
Ambos Sexos;3300203001;Rusia;1
Ambos Sexos;3300203001;Ucrania;4
Ambos Sexos;3300203001;Total África;3
Ambos Sexos;3300203001;Argelia;1
Ambos Sexos;3300203001;Marruecos;0
Ambos Sexos;3300203001;Nigeria;2
Ambos Sexos;3300203001;Senegal;0
Ambos Sexos;3300203001;Total América;1
Ambos Sexos;3300203001;Argentina;0
Ambos Sexos;3300203001;Bolivia;0
Ambos Sexos;3300203001;Brasil;0
Ambos Sexos;3300203001;Chile;0
Ambos Sexos;3300203001;Colombia;0
Ambos Sexos;3300203001;Cuba;1
Ambos Sexos;3300203001;Ecuador;0
Ambos Sexos;3300203001;Paraguay;0
Ambos Sexos;3300203001;Perú;0
Ambos Sexos;3300203001;República Dominicana;0
Ambos Sexos;3300203001;Uruguay;0
Ambos Sexos;3300203001;Venezuela;0
Ambos Sexos;3300203001;Total Asia;0
Ambos Sexos;3300203001;China;0
Ambos Sexos;3300203001;Pakistán;0
Ambos Sexos;3300203001;Oceanía y Apátridas;0
Ambos Sexos;3300203002;Total Población;1.667
Ambos Sexos;3300203002;Españoles;1.640
Ambos Sexos;3300203002;Total Extranjeros;27
Ambos Sexos;3300203002;Total Unión Europea;15
Ambos Sexos;3300203002;Alemania;0
Ambos Sexos;3300203002;Bulgaria;4
Ambos Sexos;3300203002;Francia;0
Ambos Sexos;3300203002;Italia;0
Ambos Sexos;3300203002;Polonia;1
Ambos Sexos;3300203002;Portugal;1
Ambos Sexos;3300203002;Rumanía;9
Ambos Sexos;3300203002;Total Resto de Europa;2
Ambos Sexos;3300203002;Reino Unido;0
Ambos Sexos;3300203002;Rusia;0
Ambos Sexos;3300203002;Ucrania;0
Ambos Sexos;3300203002;Total África;1
Ambos Sexos;3300203002;Argelia;0
Ambos Sexos;3300203002;Marruecos;1
Ambos Sexos;3300203002;Nigeria;0
Ambos Sexos;3300203002;Senegal;0
Ambos Sexos;3300203002;Total América;4
Ambos Sexos;3300203002;Argentina;0
Ambos Sexos;3300203002;Bolivia;0
Ambos Sexos;3300203002;Brasil;3
Ambos Sexos;3300203002;Chile;0
Ambos Sexos;3300203002;Colombia;0
Ambos Sexos;3300203002;Cuba;0
Ambos Sexos;3300203002;Ecuador;0
Ambos Sexos;3300203002;Paraguay;0
Ambos Sexos;3300203002;Perú;0
Ambos Sexos;3300203002;República Dominicana;0
Ambos Sexos;3300203002;Uruguay;0
Ambos Sexos;3300203002;Venezuela;1
Ambos Sexos;3300203002;Total Asia;5
Ambos Sexos;3300203002;China;5
Ambos Sexos;3300203002;Pakistán;0
Ambos Sexos;3300203002;Oceanía y Apátridas;0
Ambos Sexos;3300203003;Total Población;1.053
Ambos Sexos;3300203003;Españoles;1.032
Ambos Sexos;3300203003;Total Extranjeros;21
Ambos Sexos;3300203003;Total Unión Europea;13
Ambos Sexos;3300203003;Alemania;0
Ambos Sexos;3300203003;Bulgaria;0
Ambos Sexos;3300203003;Francia;1
Ambos Sexos;3300203003;Italia;1
Ambos Sexos;3300203003;Polonia;0
Ambos Sexos;3300203003;Portugal;1
Ambos Sexos;3300203003;Rumanía;10
Ambos Sexos;3300203003;Total Resto de Europa;0
Ambos Sexos;3300203003;Reino Unido;0
Ambos Sexos;3300203003;Rusia;0
Ambos Sexos;3300203003;Ucrania;0
Ambos Sexos;3300203003;Total África;6
Ambos Sexos;3300203003;Argelia;0
Ambos Sexos;3300203003;Marruecos;6
Ambos Sexos;3300203003;Nigeria;0
Ambos Sexos;3300203003;Senegal;0
Ambos Sexos;3300203003;Total América;2
Ambos Sexos;3300203003;Argentina;0
Ambos Sexos;3300203003;Bolivia;1
Ambos Sexos;3300203003;Brasil;0
Ambos Sexos;3300203003;Chile;0
Ambos Sexos;3300203003;Colombia;1
Ambos Sexos;3300203003;Cuba;0
Ambos Sexos;3300203003;Ecuador;0
Ambos Sexos;3300203003;Paraguay;0
Ambos Sexos;3300203003;Perú;0
Ambos Sexos;3300203003;República Dominicana;0
Ambos Sexos;3300203003;Uruguay;0
Ambos Sexos;3300203003;Venezuela;0
Ambos Sexos;3300203003;Total Asia;0
Ambos Sexos;3300203003;China;0
Ambos Sexos;3300203003;Pakistán;0
Ambos Sexos;3300203003;Oceanía y Apátridas;0
Ambos Sexos;3300203004;Total Población;1.208
Ambos Sexos;3300203004;Españoles;1.163
Ambos Sexos;3300203004;Total Extranjeros;45
Ambos Sexos;3300203004;Total Unión Europea;18
Ambos Sexos;3300203004;Alemania;0
Ambos Sexos;3300203004;Bulgaria;0
Ambos Sexos;3300203004;Francia;0
Ambos Sexos;3300203004;Italia;0
Ambos Sexos;3300203004;Polonia;2
Ambos Sexos;3300203004;Portugal;6
Ambos Sexos;3300203004;Rumanía;10
Ambos Sexos;3300203004;Total Resto de Europa;2
Ambos Sexos;3300203004;Reino Unido;0
Ambos Sexos;3300203004;Rusia;0
Ambos Sexos;3300203004;Ucrania;1
Ambos Sexos;3300203004;Total África;14
Ambos Sexos;3300203004;Argelia;0
Ambos Sexos;3300203004;Marruecos;14
Ambos Sexos;3300203004;Nigeria;0
